"","memberId","loanId","date","purpose","isJointApplication","loanAmount","term","interestRate","monthlyPayment","grade","loanStatus","residentialState","yearsEmployment","homeOwnership","annualIncome","incomeVerified","dtiRatio","lengthCreditHistory","numTotalCreditLines","numOpenCreditLines","numOpenCreditLines1Year","revolvingBalance","revolvingUtilizationRate","numDerogatoryRec","numDelinquency2Years","numChargeoff1year","numInquiries6Mon","isBad","hashCode"
"1",20122,33152,"2014-12-08","debtconsolidation","0",15405,"48 months",9.52000045776367,387,"E1","Current","DC","2-5 years","rent",56234,"0",20.6800003051758,8,13,9,7,16314,54,0,1,1,0,"0",1026398210
"2",20344,53857,"2016-06-19","homeimprovement","0",28529,"36 months",17.8999996185303,1030,"A1","Current","ND","2-5 years","rent",61732,"1",19.1599998474121,4,14,10,5,14600,48.8400001525879,0,0,0,3,"0",-868996371
"3",22077,64998,"2014-06-29","debtconsolidation","0",14113,"36 months",15.6099996566772,493,"B2","Current","DE","< 1 year","own",59300,"0",8.65999984741211,2,17,15,13,13665,83.9499969482422,0,0,0,0,"0",-389639751
"4",22581,84947,"2015-05-18","debtconsolidation","0",21204,"60 months",5.94999980926514,409,"C3","Current","NJ","10+ years","mortgage",52899,"1",21.3899993896484,7,11,7,6,10344,77.0100021362305,11,0,0,0,"0",1240408668
"5",25176,60208,"2014-11-30","debtconsolidation","0",20893,"60 months",8.25,426,"E2","Current","MD","6-9 years","mortgage",56340,"1",13.9200000762939,5,18,14,14,19694,70.2600021362305,0,13,9,2,"0",1220269697
"6",25780,42385,"2016-03-29","homeimprovement","0",21801,"36 months",10.4099998474121,708,"D1","Current","FL","6-9 years","rent",55693,"1",9.10999965667725,39,14,9,5,16938,63.3199996948242,0,0,0,0,"0",-1370882299
"7",27591,85570,"2015-08-13","debtconsolidation","0",16660,"36 months",5.55000019073486,503,"A2","Current","NM","2-5 years","rent",52627,"0",13.1700000762939,3,14,12,11,15116,68.9199981689453,15,0,0,0,"0",-1250516491
"8",28701,44006,"2016-01-07","debtconsolidation","0",23909,"60 months",8.64999961853027,492,"C1","Current","MS","2-5 years","own",57282,"1",15.8800001144409,2,17,10,9,16878,59.310001373291,0,0,0,0,"0",1530809441
"9",30844,28770,"2014-07-30","debtconsolidation","0",19367,"48 months",6.51000022888184,459,"C3","Current","MA","6-9 years","mortgage",55904,"1",26.3400001525879,35,10,10,8,18240,70.129997253418,0,0,0,1,"0",634461414
"10",31140,26603,"2016-04-04","debtconsolidation","0",20924,"48 months",4.34999990463257,476,"B2","Current","NV","1 year","mortgage",58696,"1",11.1700000762939,1,23,22,14,12321,72.0999984741211,0,17,11,1,"0",1089983956
"11",31832,90654,"2015-08-17","education","0",24446,"36 months",6.28000020980835,747,"E1","Current","FL","< 1 year","mortgage",52442,"1",19.4799995422363,33,14,11,8,20089,100,8,3,2,2,"0",-1984000555
"12",37373,27868,"2016-01-16","education","0",20971,"48 months",14.6800003051758,580,"A1","Current","ND","10+ years","mortgage",57070,"1",23.4899997711182,6,18,17,10,14598,62.7200012207031,0,0,0,1,"0",121634784
"13",37761,17535,"2016-02-27","debtconsolidation","0",26385,"48 months",5.6399998664856,615,"D2","Current","DC","10+ years","rent",51775,"1",11.8199996948242,2,12,10,6,18141,55.5099983215332,0,0,0,0,"0",230612022
"14",42469,49658,"2015-03-09","education","0",20227,"36 months",4.86999988555908,605,"C2","Current","MO","6-9 years","mortgage",57059,"0",6.71000003814697,6,10,6,5,15187,74.1600036621094,0,0,0,0,"0",2102731452
"15",46946,60877,"2016-04-21","debtconsolidation","0",20448,"36 months",15.6999998092651,716,"C3","Current","VT","2-5 years","mortgage",57460,"1",14.6599998474121,2,14,11,4,18764,54.1300010681152,0,3,2,0,"0",1513776279
"16",50044,27338,"2014-12-11","debtconsolidation","0",19203,"48 months",11.2399997711182,499,"C1","Current","WY","< 1 year","own",58493,"1",10.2200002670288,21,12,6,5,19309,82.0500030517578,8,0,0,0,"0",404604194
"17",50790,58733,"2015-07-13","debtconsolidation","0",15937,"36 months",11.1800003051758,523,"A3","Current","NH","2-5 years","mortgage",50875,"1",18.1599998474121,29,21,19,18,9363,45.8499984741211,0,12,8,0,"0",-1370192141
"18",53760,84210,"2015-10-12","debtconsolidation","0",18922,"36 months",9.07999992370605,602,"D3","Current","MN","1 year","own",54075,"0",9.88000011444092,1,22,20,11,16965,71.2799987792969,0,0,0,0,"0",-990899755
