,scorePercentile,scoreCutoff,badRate
1,0%,0,0.101616628
2,1%,0.0813,0.102291597
3,2%,0.0815,0.103044496
4,3%,0.0818,0.104159621
5,4%,0.0821,0.105407255
6,5%,0.0824,0.106648199
7,6%,0.0826,0.107504363
8,7%,0.0829,0.108680311
9,8%,0.0832,0.110117984
10,9%,0.0834,0.111151209
11,10%,0.0838,0.11265545
12,11%,0.0841,0.113905325
13,12%,0.0843,0.114925373
14,13%,0.0848,0.116358141
15,14%,0.085,0.117378049
16,15%,0.0855,0.119241192
17,16%,0.0859,0.120689655
18,17%,0.0864,0.122319301
19,18%,0.0868,0.123446894
20,19%,0.0873,0.125254168
21,20%,0.0877,0.126748971
22,21%,0.088,0.127650728
23,22%,0.0884,0.129590545
24,23%,0.089,0.131364998
25,24%,0.0896,0.13295799
26,25%,0.0902,0.134387352
27,26%,0.0909,0.136242208
28,27%,0.0916,0.138024357
29,28%,0.0925,0.139460448
30,29%,0.0934,0.141597029
31,30%,0.0944,0.143192488
32,31%,0.095,0.14469914
33,32%,0.0959,0.146518375
34,33%,0.0968,0.149040826
35,34%,0.0976,0.151122195
36,35%,0.0986,0.153495441
37,36%,0.0997,0.155864198
38,37%,0.1007,0.15770235
39,38%,0.1017,0.160467588
40,39%,0.1023,0.162089391
41,40%,0.104,0.164654226
42,41%,0.1051,0.16694584
43,42%,0.1061,0.168654174
44,43%,0.1075,0.171577123
45,44%,0.1086,0.174295775
46,45%,0.1099,0.176927675
47,46%,0.1125,0.180207697
48,47%,0.1145,0.182949596
49,48%,0.1164,0.186311787
50,49%,0.1193,0.189398836
51,50%,0.1212,0.192763158
52,51%,0.1231,0.195154778
53,52%,0.1262,0.198489011
54,53%,0.1286,0.202664797
55,54%,0.1309,0.206871868
56,55%,0.1336,0.211411851
57,56%,0.1371,0.216479401
58,57%,0.1401,0.221625767
59,58%,0.1424,0.226844584
60,59%,0.1466,0.232502011
61,60%,0.1504,0.238056013
62,61%,0.1572,0.243243243
63,62%,0.1624,0.248700173
64,63%,0.1685,0.25311943
65,64%,0.1783,0.257090576
66,65%,0.1875,0.263653484
67,66%,0.1959,0.269379845
68,67%,0.2062,0.275724276
69,68%,0.2176,0.279093718
70,69%,0.231,0.284803401
71,70%,0.2437,0.291208791
72,71%,0.2605,0.298863636
73,72%,0.2775,0.307420495
74,73%,0.2972,0.313797314
75,74%,0.3252,0.325316456
76,75%,0.3519,0.336411609
77,76%,0.3805,0.34478022
78,77%,0.4158,0.356733524
79,78%,0.4451,0.360778443
80,79%,0.4806,0.370486656
81,80%,0.5312,0.378912685
82,81%,0.5694,0.390625
83,82%,0.6275,0.402930403
84,83%,0.6737,0.410852713
85,84%,0.7305,0.430927835
86,85%,0.786,0.448351648
87,86%,0.8532,0.46728972
88,87%,0.8958,0.488607595
89,88%,0.9326,0.508241758
90,89%,0.9586,0.517964072
91,90%,0.9788,0.542763158
92,91%,0.9905,0.586080586
93,92%,0.9958,0.609053498
94,93%,0.9982,0.651162791
95,94%,0.9996,0.675675676
96,95%,0.9998,0.708333333
97,96%,0.9998,0.708333333
98,97%,0.9998,0.708333333
99,98%,0.9999,0.730263158
100,99%,0.9999,0.730263158
